dag,algorithm,makespan,energy,runtime_sec,cost,reward,w_q,w_d
CyberShake_100.gml,GA,160.0,1546.0,0.222095,933.0,0.001071811360051649,,
CyberShake_1000.gml,GA,1380.0,16444.0,1.667521,9602.0,0.00010414496978711258,,
CyberShake_30.gml,GA,60.0,428.0,0.05609,274.0,0.0036496350231765146,,
CyberShake_50.gml,GA,90.0,734.0,0.105046,457.0,0.0021881838026516767,,
CyberShake_100.gml,PSO,180.0,1480.0,0.260697,920.0,0.001086956520557656,,
CyberShake_1000.gml,PSO,1340.0,16642.0,2.154725,9661.0,0.00010350895351376576,,
CyberShake_30.gml,PSO,60.0,420.0,0.123481,270.0,0.0037037036899862825,,
CyberShake_50.gml,PSO,90.0,734.0,0.162688,457.0,0.0021881838026516767,,
CyberShake_100.gml,HEFT,129.99999999999997,1684.0000000000014,0.001029,972.0000000000007,0.0010288065833036963,,
CyberShake_1000.gml,HEFT,1260.000000000001,16968.000000000062,0.005038,9744.000000000033,0.00010262725778913889,,
CyberShake_30.gml,HEFT,50.0,482.00000000000017,0.0,291.0000000000001,0.0034364261050294624,,
CyberShake_50.gml,HEFT,70.0,822.0000000000003,0.0,481.00000000000017,0.0020790020746798287,,
CyberShake_100.gml,MOHEFT,130.0,1678.0,0.0,969.0,0.0010319917430010406,,
CyberShake_1000.gml,MOHEFT,1260.0,16970.0,0.007,9745.0,0.00010261672651589361,,
CyberShake_30.gml,MOHEFT,50.0,472.0,0.0,286.0,0.00349650348427796,,
CyberShake_50.gml,MOHEFT,70.0,820.0,0.001,480.0,0.0020833333289930556,,
CyberShake_100.gml,QIPSO,140.0,1738.0,3.546583,1009.0,0.0009910802765202376,,
CyberShake_1000.gml,QIPSO,1280.0,17016.0,33.942833,9788.0,0.00010216591743950082,,
CyberShake_30.gml,QIPSO,50.0,524.0,1.153589,312.0,0.003205128194855358,,
CyberShake_50.gml,QIPSO,80.0,832.0,1.814157,496.0,0.002016129028193288,,
CyberShake_100.gml,DQN,240.0,1880.0,1.03292,1180.0,0.0008474576264004595,,
CyberShake_1000.gml,DQN,9770.0,15952.0,0.639527,17746.0,5.635072692120192e-05,,
CyberShake_30.gml,DQN,110.0,508.0,0.152202,364.0,0.0027472527397053494,,
CyberShake_50.gml,DQN,230.0,792.0,0.121545,626.0,0.0015974440869050415,,
CyberShake_100.gml,HCOCP,150.0,1628.0,0.001,964.0,0.0010373443972641655,,
CyberShake_1000.gml,HCOCP,1270.0,16926.0,0.012997,9733.0,0.00010274324462110929,,
CyberShake_30.gml,HCOCP,50.0,468.0,0.0,284.0,0.0035211267481650467,,
CyberShake_50.gml,HCOCP,80.0,804.0,0.0,482.0,0.002074688792376164,,
CyberShake_100.gml,QERLO,193.05,1813.33,2.213159,1099.71,0.000915,0.47,0.53
CyberShake_1000.gml,QERLO,4062.55,16667.28,23.027878,12396.19,8.7e-05,0.672,0.328
CyberShake_30.gml,QERLO,81.85,515.51,0.622084,339.6,0.002962,0.469,0.531
CyberShake_50.gml,QERLO,158.16,811.16,0.932249,563.73,0.001798,0.479,0.521
