dag,algorithm,makespan,energy,runtime_sec,cost,reward,w_q,w_d
Epigenomics_100.gml,GA,160.0,1546.0,0.222353,933.0,0.001071811360051649,,
Epigenomics_24.gml,GA,40.0,360.0,0.045999,220.0,0.004545454524793388,,
Epigenomics_46.gml,GA,90.0,678.0,0.083977,429.0,0.002331002325568759,,
Epigenomics_997.gml,GA,1380.0,16372.0,1.690642,9566.0,0.0001045369015153108,,
Epigenomics_100.gml,PSO,180.0,1480.0,0.264021,920.0,0.001086956520557656,,
Epigenomics_24.gml,PSO,40.0,366.0,0.112003,223.0,0.004484304912626435,,
Epigenomics_46.gml,PSO,80.0,706.0,0.16,433.0,0.0023094688168372544,,
Epigenomics_997.gml,PSO,1360.0,16518.0,2.158022,9619.0,0.00010396091068676984,,
Epigenomics_100.gml,HEFT,160.0,1672.0000000000014,0.001,996.0000000000007,0.0010040160632489791,,
Epigenomics_24.gml,HEFT,80.0,320.0000000000001,0.0,240.00000000000006,0.004166666649305555,,
Epigenomics_46.gml,HEFT,99.99999999999999,754.0000000000003,0.001001,477.00000000000017,0.0020964360543051647,,
Epigenomics_997.gml,HEFT,1280.000000000001,16906.000000000062,0.006979,9733.000000000033,0.00010274324462110895,,
Epigenomics_100.gml,MOHEFT,170.0,1648.0,0.001,994.0,0.001006036216291714,,
Epigenomics_24.gml,MOHEFT,80.0,320.0,0.0,240.0,0.004166666649305556,,
Epigenomics_46.gml,MOHEFT,110.0,730.0,0.0,475.0,0.0021052631534626037,,
Epigenomics_997.gml,MOHEFT,1280.0,16900.0,0.007021,9730.0,0.00010277492290824512,,
Epigenomics_100.gml,QIPSO,170.0,1690.0,3.746866,1015.0,0.0009852216739061855,,
Epigenomics_24.gml,QIPSO,80.0,416.0,0.78102,288.0,0.003472222210165895,,
Epigenomics_46.gml,QIPSO,120.0,782.0,1.727441,511.0,0.0019569471585969725,,
Epigenomics_997.gml,QIPSO,1310.0,16966.0,33.909789,9793.0,0.00010211375471233393,,
Epigenomics_100.gml,DQN,450.0,1644.0,1.044857,1272.0,0.0007861635213945254,,
Epigenomics_24.gml,DQN,110.0,390.0,0.045563,305.0,0.0032786885138403657,,
Epigenomics_46.gml,DQN,220.0,734.0,0.138277,587.0,0.001703577509874655,,
Epigenomics_997.gml,DQN,5150.0,18034.0,0.625816,14167.0,7.058657442856028e-05,,
Epigenomics_100.gml,HCOCP,160.0,1672.0,0.000999,996.0,0.0010040160632489798,,
Epigenomics_24.gml,HCOCP,80.0,320.0,0.000995,240.0,0.004166666649305556,,
Epigenomics_46.gml,HCOCP,130.0,716.0,0.001,488.0,0.0020491803236697124,,
Epigenomics_997.gml,HCOCP,1310.0,16838.0,0.010996,9729.0,0.00010278548667871461,,
Epigenomics_100.gml,QERLO,316.13,1665.99,2.33667,1149.13,0.000881,0.478,0.522
Epigenomics_24.gml,QERLO,96.28,401.89,0.38179,297.23,0.003367,0.457,0.543
Epigenomics_46.gml,QERLO,173.27,756.43,0.8809,551.48,0.001822,0.467,0.533
Epigenomics_997.gml,QERLO,2670.75,17344.46,22.115233,11342.98,9.1e-05,0.646,0.354
