dag,algorithm,makespan,energy,runtime_sec,cost,reward,w_q,w_d
Montage_100.gml,GA,160.0,1546.0,0.226197,933.0,0.001071811360051649,,
Montage_1000.gml,GA,1380.0,16444.0,1.675074,9602.0,0.00010414496978711258,,
Montage_25.gml,GA,50.0,356.0,0.049,228.0,0.004385964893044014,,
Montage_50.gml,GA,90.0,734.0,0.088,457.0,0.0021881838026516767,,
Montage_100.gml,PSO,180.0,1480.0,0.264527,920.0,0.001086956520557656,,
Montage_1000.gml,PSO,1340.0,16642.0,2.155,9661.0,0.00010350895351376576,,
Montage_25.gml,PSO,50.0,350.0,0.115,225.0,0.004444444424691358,,
Montage_50.gml,PSO,90.0,734.0,0.16901,457.0,0.0021881838026516767,,
Montage_100.gml,HEFT,150.0,1674.0000000000014,0.001003,987.0000000000007,0.0010131712249106667,,
Montage_1000.gml,HEFT,1260.000000000001,16986.00000000006,0.007,9753.00000000003,0.00010253255407540905,,
Montage_25.gml,HEFT,90.0,384.00000000000017,0.0,282.0000000000001,0.0035460992782053204,,
Montage_50.gml,HEFT,90.0,822.0000000000005,0.0,501.0000000000002,0.001996007980047887,,
Montage_100.gml,MOHEFT,200.0,1612.0,0.000998,1006.0,0.0009940357843001633,,
Montage_1000.gml,MOHEFT,1320.0,16920.0,0.008,9780.0,0.00010224948874210128,,
Montage_25.gml,MOHEFT,90.0,338.0,0.0,259.0,0.00386100384609651,,
Montage_50.gml,MOHEFT,140.0,750.0,0.000978,515.0,0.0019417475690451504,,
Montage_100.gml,QIPSO,170.0,1672.0,3.544036,1006.0,0.0009940357843001633,,
Montage_1000.gml,QIPSO,1330.0,17024.0,34.722124,9842.0,0.00010160536475293585,,
Montage_25.gml,QIPSO,90.0,418.0,0.179007,299.0,0.0033444815941656133,,
Montage_50.gml,QIPSO,110.0,854.0,1.874641,537.0,0.0018621973894558709,,
Montage_100.gml,DQN,350.0,1830.0,7.750134,1265.0,0.0007905138333671826,,
Montage_1000.gml,DQN,6550.0,15774.0,0.277498,14437.0,6.926646809799359e-05,,
Montage_25.gml,DQN,160.0,452.0,0.049084,386.0,0.002590673568417944,,
Montage_50.gml,DQN,190.0,862.0,0.133598,621.0,0.0016103059555389598,,
Montage_100.gml,HCOCP,210.0,1568.0,0.001,994.0,0.001006036216291714,,
Montage_1000.gml,HCOCP,1570.0,16456.0,0.01501,9798.0,0.00010206164522330458,,
Montage_25.gml,HCOCP,100.0,356.0,0.001,278.0,0.0035971222892189846,,
Montage_50.gml,HCOCP,130.0,768.0,0.000998,514.0,0.0019455252880437252,,
Montage_100.gml,QERLO,263.87,1754.4,5.737467,1141.07,0.000888,0.479,0.521
Montage_1000.gml,QERLO,3171.02,16583.14,22.574006,11462.59,9e-05,0.647,0.353
Montage_25.gml,QERLO,126.28,435.62,0.111675,344.09,0.002954,0.482,0.518
Montage_50.gml,QERLO,152.55,858.25,0.948641,581.68,0.001728,0.468,0.532
