dag,algorithm,makespan,energy,runtime_sec,cost,reward,w_q,w_d
Sipht_100.gml,GA,150.0,1516.0,0.219001,908.0,0.0011013215846901745,,
Sipht_1000.gml,GA,1310.0,16026.0,1.656023,9323.0,0.00010726161105789321,,
Sipht_30.gml,GA,50.0,434.0,0.054998,267.0,0.0037453183380325157,,
Sipht_60.gml,GA,100.0,866.0,0.103,533.0,0.0018761726043599013,,
Sipht_100.gml,PSO,170.0,1440.0,0.258,890.0,0.0011235955043555107,,
Sipht_1000.gml,PSO,1330.0,15954.0,2.126001,9307.0,0.000107446008369244,,
Sipht_30.gml,PSO,50.0,432.0,0.122023,266.0,0.0037593984821075246,,
Sipht_60.gml,PSO,110.0,832.0,0.17802,526.0,0.0019011406807963105,,
Sipht_100.gml,HEFT,129.99999999999997,1642.0000000000011,0.001,951.0000000000006,0.0010515247097249998,,
Sipht_1000.gml,HEFT,1210.000000000001,16456.00000000005,0.00599,9438.000000000025,0.00010595465139797019,,
Sipht_30.gml,HEFT,50.0,470.0000000000002,0.0,285.0000000000001,0.0035087719175130798,,
Sipht_60.gml,HEFT,80.0,974.0000000000007,0.001,567.0000000000003,0.0017636684272245697,,
Sipht_100.gml,MOHEFT,140.0,1590.0,0.000988,935.0,0.0010695187154336698,,
Sipht_1000.gml,MOHEFT,1240.0,16374.0,0.007009,9427.0,0.00010607828576364927,,
Sipht_30.gml,MOHEFT,70.0,436.0,0.0,288.0,0.003472222210165895,,
Sipht_60.gml,MOHEFT,100.0,916.0,0.0,558.0,0.0017921146921288267,,
Sipht_100.gml,QIPSO,150.0,1628.0,3.498012,964.0,0.0010373443972641655,,
Sipht_1000.gml,QIPSO,1270.0,16428.0,33.137,9484.0,0.00010544074229170806,,
Sipht_30.gml,QIPSO,70.0,462.0,1.147991,301.0,0.003322259125175219,,
Sipht_60.gml,QIPSO,100.0,930.0,2.071041,565.0,0.001769911501292192,,
Sipht_100.gml,DQN,330.0,1894.0,0.959977,1277.0,0.0007830853556906144,,
Sipht_1000.gml,DQN,7890.0,15094.0,0.264988,15437.0,6.477942605008879e-05,,
Sipht_30.gml,DQN,210.0,616.0,0.019977,518.0,0.001930501926775093,,
Sipht_60.gml,DQN,290.0,982.0,0.028,781.0,0.0012804097294745074,,
Sipht_100.gml,HCOCP,150.0,1584.0,0.001,942.0,0.0010615711241384596,,
Sipht_1000.gml,HCOCP,1230.0,16412.0,0.026011,9436.0,0.00010597710893323684,,
Sipht_30.gml,HCOCP,70.0,436.0,0.000999,288.0,0.003472222210165895,,
Sipht_60.gml,HCOCP,100.0,934.0,0.001,567.0,0.0017636684272245707,,
Sipht_100.gml,QERLO,242.71,1765.01,2.190714,1125.22,0.000906,0.485,0.515
Sipht_1000.gml,QERLO,3522.66,15974.06,21.951269,11509.69,9.2e-05,0.66,0.34
Sipht_30.gml,QERLO,137.73,536.5,0.602302,405.98,0.002649,0.516,0.484
Sipht_60.gml,QERLO,196.88,956.51,1.029333,675.13,0.00152,0.49,0.51
