dag,algorithm,makespan,energy,runtime_sec
CyberShake_100.gml,FCFS,130.0,1684.0,0.000997
CyberShake_100.gml,HEFT,149.5,4.21,0.0113
CyberShake_100.gml,QIPSO,156.0,3368.0,5.703608
CyberShake_100.gml,DQN,331.5,1616.4,1.024798
CyberShake_100.gml,QERLO,240.39,1589.76,2.629532
CyberShake_30.gml,FCFS,50.0,482.0,0.0
CyberShake_30.gml,HEFT,57.5,1.21,0.01
CyberShake_30.gml,QIPSO,60.0,1020.0,3.014961
CyberShake_30.gml,DQN,170.0,437.4,0.101583
CyberShake_30.gml,QERLO,109.71,490.08,0.650495
CyberShake_50.gml,FCFS,70.0,822.0,0.001002
CyberShake_50.gml,HEFT,80.5,2.06,0.01
CyberShake_50.gml,QIPSO,84.0,1716.0,3.014919
CyberShake_50.gml,DQN,153.0,838.8,0.130376
CyberShake_50.gml,QERLO,114.37,809.49,1.020729
CyberShake_1000.gml,FCFS,1260.0,16976.0,0.003
CyberShake_1000.gml,HEFT,1449.0,42.42,0.019173
CyberShake_1000.gml,QIPSO,1536.0,34028.0,38.739911
CyberShake_1000.gml,DQN,7055.0,17380.8,0.6128
CyberShake_1000.gml,QERLO,4206.97,17193.99,17.057154
