dag,algorithm,makespan,energy,runtime_sec
Epigenomics_100.gml,FCFS,160.0,1678.0,0.039987
Epigenomics_100.gml,HEFT,184.0,4.18,0.054041
Epigenomics_100.gml,QIPSO,204.0,3432.0,4.254988
Epigenomics_100.gml,DQN,131.2,629.88,0.100941
Epigenomics_24.gml,FCFS,80.0,384.0,0.044227
Epigenomics_24.gml,HEFT,92.0,0.8,0.052702
Epigenomics_24.gml,QIPSO,96.0,852.0,2.75348
Epigenomics_24.gml,DQN,65.6,144.12,0.206766
Epigenomics_997.gml,FCFS,1280.0,16930.0,0.727962
Epigenomics_997.gml,HEFT,1472.0,42.27,0.951166
Epigenomics_997.gml,QIPSO,1560.0,33920.0,33.163994
Epigenomics_997.gml,DQN,1049.6,6355.09,0.136563
Epigenomics_46.gml,FCFS,100.0,772.0,0.036916
Epigenomics_46.gml,HEFT,115.0,1.89,0.028158
Epigenomics_46.gml,QIPSO,144.0,1604.0,2.662997
Epigenomics_46.gml,DQN,82.0,289.78,0.183928
