dag,algorithm,makespan,energy,runtime_sec
Epigenomics_24.gml,FCFS,80.0,384.0,0.0
Epigenomics_24.gml,HEFT,80.0,0.32,0.0
Epigenomics_24.gml,QIPSO,80.0,414.0,0.135001
Epigenomics_24.gml,DQN,120.0,352.0,0.020008
Epigenomics_24.gml,QERLO,100.0,383.0,0.077505
Epigenomics_100.gml,FCFS,160.0,1678.0,0.001003
Epigenomics_100.gml,HEFT,160.0,1.6719999999999997,0.0
Epigenomics_100.gml,QIPSO,170.0,1690.0,3.376001
Epigenomics_100.gml,DQN,330.0,1902.0,1.126836
Epigenomics_100.gml,QERLO,250.0,1796.0,2.251418
Epigenomics_997.gml,FCFS,1280.0,16930.0,0.003
Epigenomics_997.gml,HEFT,1280.000000000001,16.906000000000013,0.006
Epigenomics_997.gml,QIPSO,1300.0,16950.0,33.328408
Epigenomics_997.gml,DQN,4410.0,18180.0,0.26499
Epigenomics_997.gml,QERLO,2855.0,17565.0,16.796699
Epigenomics_46.gml,FCFS,100.0,772.0,0.0
Epigenomics_46.gml,HEFT,99.99999999999999,0.7540000000000001,0.0
Epigenomics_46.gml,QIPSO,110.0,788.0,1.724996
Epigenomics_46.gml,DQN,210.0,774.0,0.028001
Epigenomics_46.gml,QERLO,160.0,781.0,0.876498
