dag,algorithm,makespan,energy,runtime_sec
Inspiral_30.gml,FCFS,60.0,498.0,0.014429
Inspiral_30.gml,HEFT,69.0,1.17,0.029246
Inspiral_30.gml,QIPSO,84.0,1008.0,3.320055
Inspiral_30.gml,DQN,49.2,186.93,0.169132
Inspiral_1000.gml,FCFS,1250.0,17000.0,0.860955
Inspiral_1000.gml,HEFT,1437.5,42.5,0.871908
Inspiral_1000.gml,QIPSO,1548.0,34036.0,33.50099
Inspiral_1000.gml,DQN,1025.0,6381.38,0.14037
Inspiral_100.gml,FCFS,140.0,1678.0,0.04719
Inspiral_100.gml,HEFT,161.0,4.18,0.071728
Inspiral_100.gml,QIPSO,180.0,3396.0,5.688937
Inspiral_100.gml,DQN,114.8,629.88,0.134611
Inspiral_50.gml,FCFS,80.0,836.0,0.038806
Inspiral_50.gml,HEFT,92.0,2.09,0.034818
Inspiral_50.gml,QIPSO,120.0,1720.0,2.772977
Inspiral_50.gml,DQN,65.6,313.81,0.086697
