dag,algorithm,makespan,energy,runtime_sec
Inspiral_30.gml,FCFS,60.0,498.0,0.0
Inspiral_30.gml,HEFT,69.0,1.17,0.0113
Inspiral_30.gml,QIPSO,96.0,964.0,2.359601
Inspiral_30.gml,DQN,85.0,390.6,0.088776
Inspiral_30.gml,QERLO,78.89,438.08,0.607509
Inspiral_50.gml,FCFS,80.0,836.0,0.0
Inspiral_50.gml,HEFT,92.0,2.09,0.01
Inspiral_50.gml,QIPSO,120.0,1712.0,3.374202
Inspiral_50.gml,DQN,212.5,831.6,0.111994
Inspiral_50.gml,QERLO,155.13,838.76,0.974549
Inspiral_1000.gml,FCFS,1250.0,17000.0,0.003
Inspiral_1000.gml,HEFT,1437.5,42.5,0.0191
Inspiral_1000.gml,QIPSO,1572.0,34120.0,39.701422
Inspiral_1000.gml,DQN,5686.5,14455.8,0.562553
Inspiral_1000.gml,QERLO,3674.11,15731.55,17.821156
Inspiral_100.gml,FCFS,140.0,1678.0,0.001003
Inspiral_100.gml,HEFT,161.0,4.17,0.011297
Inspiral_100.gml,QIPSO,192.0,3416.0,5.118366
Inspiral_100.gml,DQN,221.0,1441.8,1.120787
Inspiral_100.gml,QERLO,194.16,1501.88,2.789748
