dag,algorithm,makespan,energy,runtime_sec,cost
Inspiral_100.gml,FCFS,140.0,1678.0,0.001002,979.0
Inspiral_1000.gml,FCFS,1250.0,17000.0,0.002991,9750.0
Inspiral_30.gml,FCFS,60.0,498.0,0.0,309.0
Inspiral_50.gml,FCFS,80.0,836.0,0.001,498.0
Inspiral_100.gml,HEFT,139.99999999999997,1670.0000000000014,0.0,975.0000000000007
Inspiral_1000.gml,HEFT,1250.000000000001,17000.000000000062,0.006001,9750.000000000033
Inspiral_30.gml,HEFT,60.00000000000001,468.0000000000002,0.0,294.0000000000001
Inspiral_50.gml,HEFT,80.0,836.0000000000006,0.0,498.0000000000003
Inspiral_100.gml,QIPSO,150.0,1684.0,3.519516,992.0
Inspiral_1000.gml,QIPSO,1300.0,17066.0,34.865642,9833.0
Inspiral_30.gml,QIPSO,70.0,500.0,1.104959,320.0
Inspiral_50.gml,QIPSO,100.0,832.0,1.954985,516.0
Inspiral_100.gml,DQN,260.0,1602.0,1.511913,1061.0
Inspiral_1000.gml,DQN,6690.0,16062.0,0.619656,14721.0
Inspiral_30.gml,DQN,100.0,434.0,0.150413,317.0
Inspiral_50.gml,DQN,250.0,924.0,0.151001,712.0
Inspiral_100.gml,MOHEFT,140.0,1660.0,0.000999,970.0
Inspiral_1000.gml,MOHEFT,1260.0,16976.0,0.009022,9748.0
Inspiral_30.gml,MOHEFT,80.0,424.0,0.001,292.0
Inspiral_50.gml,MOHEFT,100.0,788.0,0.0,494.0
