dag,algorithm,makespan,energy,runtime_sec
Montage_25.gml,FCFS,100,394,0.031079
Montage_25.gml,HEFT,103.5,0.96,0.043526
Montage_25.gml,QIPSO,108,828,3.460732
Montage_25.gml,DQN,77.9,147.89,0.292166
Montage_50.gml,FCFS,120,822,0.047311
Montage_50.gml,HEFT,103.5,2.06,0.028128
Montage_50.gml,QIPSO,132,1668,2.702
Montage_50.gml,DQN,86.1,308.56,0.090025
Montage_100_1.gml,FCFS,180,1684,0.06041
Montage_100_1.gml,HEFT,207,4.12,0.079893
Montage_100_1.gml,QIPSO,240,3376,4.457127
Montage_100_1.gml,DQN,147.6,632.12,0.11712
Montage_1000_1.gml,FCFS,1310,16976,0.814058
Montage_1000_1.gml,HEFT,1506.5,42.33,0.819256
Montage_1000_1.gml,QIPSO,1644,33728,32.011968
Montage_1000_1.gml,DQN,1074.2,6372.35,0.122494
Montage_100_5.gml,FCFS,180,1684,0.034424
Montage_100_5.gml,HEFT,207,4.12,0.040629
Montage_100_5.gml,QIPSO,240,3388,4.181035
Montage_100_5.gml,DQN,147.6,632.12,0.217049
Montage_1000_4.gml,FCFS,1310,16976,0.624884
Montage_1000_4.gml,HEFT,1506.5,42.33,0.692911
Montage_1000_4.gml,QIPSO,1632,34004,31.973983
Montage_1000_4.gml,DQN,1074.2,6372.35,0.230196
Montage_1000_3.gml,FCFS,1310,16976,0.401874
Montage_1000_3.gml,HEFT,1506.5,42.33,0.791291
Montage_1000_3.gml,QIPSO,1644,33916,31.932993
Montage_1000_3.gml,DQN,1074.2,6372.35,0.252517
Montage_1000_2.gml,FCFS,1310,16976,0.396604
Montage_1000_2.gml,HEFT,1506.5,42.33,0.538586
Montage_1000_2.gml,QIPSO,1644,33928,37.820403
Montage_1000_2.gml,DQN,1074.2,6372.35,0.211979
Montage_100.gml,FCFS,180,1684,0.071272
Montage_100.gml,HEFT,172.5,4.19,0.067607
Montage_100.gml,QIPSO,216,3460,5.868529
Montage_100.gml,DQN,135.3,632.13,0.208
Montage_1000_5.gml,FCFS,1310,16976,0.714939
Montage_1000_5.gml,HEFT,1506.5,42.33,0.969215
Montage_1000_5.gml,QIPSO,1632,34076,32.016984
Montage_1000_5.gml,DQN,1074.2,6372.35,0.183718
Montage_100_3.gml,FCFS,180,1684,0.071227
Montage_100_3.gml,HEFT,207,4.12,0.081196
Montage_100_3.gml,QIPSO,240,3448,4.49675
Montage_100_3.gml,DQN,147.6,632.12,0.16588
Montage_1000_0.gml,FCFS,1310,16976,0.934907
Montage_1000_0.gml,HEFT,1506.5,42.33,0.940349
Montage_1000_0.gml,QIPSO,1644,33848,31.939999
Montage_1000_0.gml,DQN,1074.2,6372.35,0.143921
Montage_100_2.gml,FCFS,180,1684,0.070173
Montage_100_2.gml,HEFT,207,4.12,0.076267
Montage_100_2.gml,QIPSO,240,3384,4.171967
Montage_100_2.gml,DQN,147.6,632.12,0.218946
Montage_1000.gml,FCFS,1310,16976,0.838828
Montage_1000.gml,HEFT,1449,42.47,0.492349
Montage_1000.gml,QIPSO,1608,33820,40.52684
Montage_1000.gml,DQN,1053.7,6372.37,0.171624
Montage_100_0.gml,FCFS,180,1684,0.071087
Montage_100_0.gml,HEFT,207,4.12,0.054762
Montage_100_0.gml,QIPSO,228,3396,4.13298
Montage_100_0.gml,DQN,147.6,632.12,0.13446
Montage_100_4.gml,FCFS,180,1684,0.037228
Montage_100_4.gml,HEFT,207,4.12,0.077729
Montage_100_4.gml,QIPSO,228,3464,4.200979
Montage_100_4.gml,DQN,147.6,632.12,0.153684
