dag,algorithm,makespan,energy,runtime_sec
Montage_1000_4.gml,FCFS,1310.0,16976.0,0.003995
Montage_1000_4.gml,HEFT,1506.5,42.33,0.019101
Montage_1000_4.gml,QIPSO,1608.0,34004.0,39.08099
Montage_1000_4.gml,DQN,7565.0,12812.4,0.343998
Montage_1000_4.gml,QERLO,4543.1,15307.62,16.51362
Montage_100_5.gml,FCFS,180.0,1684.0,0.001
Montage_100_5.gml,HEFT,207.0,4.12,0.0126
Montage_100_5.gml,QIPSO,240.0,3400.0,5.063647
Montage_100_5.gml,DQN,399.5,1420.2,0.145642
Montage_100_5.gml,QERLO,315.29,1524.09,2.018505
Montage_100_4.gml,FCFS,180.0,1684.0,0.001
Montage_100_4.gml,HEFT,207.0,4.12,0.0113
Montage_100_4.gml,QIPSO,240.0,3468.0,5.706784
Montage_100_4.gml,DQN,280.5,1627.2,0.09759
Montage_100_4.gml,QERLO,236.9,1624.9,1.900423
Montage_100_3.gml,FCFS,180.0,1684.0,0.0
Montage_100_3.gml,HEFT,207.0,4.12,0.0113
Montage_100_3.gml,QIPSO,240.0,3436.0,5.484894
Montage_100_3.gml,DQN,569.5,1085.4,0.153599
Montage_100_3.gml,QERLO,384.2,1422.89,1.864339
Montage_1000.gml,FCFS,1310.0,16976.0,0.004
Montage_1000.gml,HEFT,1449.0,42.47,0.0191
Montage_1000.gml,QIPSO,1596.0,34068.0,39.368323
Montage_1000.gml,DQN,6230.5,10942.2,0.617596
Montage_1000.gml,QERLO,3982.01,14292.76,18.060119
Montage_1000_1.gml,FCFS,1310.0,16976.0,0.004
Montage_1000_1.gml,HEFT,1506.5,42.33,0.0204
Montage_1000_1.gml,QIPSO,1644.0,34248.0,38.959394
Montage_1000_1.gml,DQN,5771.5,18505.8,0.612547
Montage_1000_1.gml,QERLO,3533.59,17315.24,19.411899
Montage_100_2.gml,FCFS,180.0,1684.0,0.001
Montage_100_2.gml,HEFT,207.0,4.12,0.0113
Montage_100_2.gml,QIPSO,240.0,3408.0,5.67128
Montage_100_2.gml,DQN,255.0,1420.2,0.137588
Montage_100_2.gml,QERLO,225.18,1615.18,1.871526
Montage_100_1.gml,FCFS,180.0,1684.0,0.001004
Montage_100_1.gml,HEFT,207.0,4.12,0.011297
Montage_100_1.gml,QIPSO,240.0,3396.0,5.393372
Montage_100_1.gml,DQN,331.5,1477.8,0.204861
Montage_100_1.gml,QERLO,258.15,1593.89,1.981861
Montage_1000_0.gml,FCFS,1310.0,16976.0,0.003999
Montage_1000_0.gml,HEFT,1506.5,42.33,0.019099
Montage_1000_0.gml,QIPSO,1632.0,33848.0,39.155762
Montage_1000_0.gml,DQN,3697.5,13775.4,0.605848
Montage_1000_0.gml,QERLO,2691.29,15456.87,17.725275
Montage_25.gml,FCFS,100.0,394.0,0.0
Montage_25.gml,HEFT,103.5,0.96,0.01
Montage_25.gml,QIPSO,108.0,868.0,1.942504
Montage_25.gml,DQN,212.5,315.0,0.110402
Montage_25.gml,QERLO,155.99,356.31,0.124079
Montage_50.gml,FCFS,120.0,822.0,0.001
Montage_50.gml,HEFT,103.5,2.05,0.01
Montage_50.gml,QIPSO,132.0,1684.0,3.808768
Montage_50.gml,DQN,187.0,707.4,0.144793
Montage_50.gml,QERLO,144.63,742.78,1.051249
Montage_100_0.gml,FCFS,180.0,1684.0,0.0
Montage_100_0.gml,HEFT,207.0,4.12,0.0113
Montage_100_0.gml,QIPSO,240.0,3376.0,5.209845
Montage_100_0.gml,DQN,314.5,1544.4,0.112026
Montage_100_0.gml,QERLO,260.43,1603.69,1.801251
Montage_1000_5.gml,FCFS,1310.0,16976.0,0.004
Montage_1000_5.gml,HEFT,1506.5,42.33,0.0204
Montage_1000_5.gml,QIPSO,1632.0,33836.0,39.389279
Montage_1000_5.gml,DQN,6400.5,18379.8,0.608817
Montage_1000_5.gml,QERLO,4157.92,18326.14,16.563147
Montage_100.gml,FCFS,180.0,1684.0,0.0
Montage_100.gml,HEFT,172.5,4.18,0.011282
Montage_100.gml,QIPSO,216.0,3332.0,5.824057
Montage_100.gml,DQN,348.5,1476.0,0.958392
Montage_100.gml,QERLO,266.2,1635.71,2.192522
Montage_1000_2.gml,FCFS,1310.0,16976.0,0.004
Montage_1000_2.gml,HEFT,1506.5,42.33,0.0191
Montage_1000_2.gml,QIPSO,1620.0,34276.0,38.798952
Montage_1000_2.gml,DQN,5788.5,13645.8,0.614237
Montage_1000_2.gml,QERLO,3537.91,15663.79,19.618066
Montage_1000_3.gml,FCFS,1310.0,16976.0,0.004
Montage_1000_3.gml,HEFT,1506.5,42.33,0.020429
Montage_1000_3.gml,QIPSO,1656.0,34236.0,39.03657
Montage_1000_3.gml,DQN,7837.0,19535.4,0.611205
Montage_1000_3.gml,QERLO,4830.28,17747.58,16.932074
