dag,algorithm,makespan,energy,runtime_sec
Sipht_100_3.gml,FCFS,150.0,1630.0,0.045057
Sipht_100_3.gml,HEFT,149.5,4.11,0.070215
Sipht_100_3.gml,QIPSO,168.0,3324.0,4.246979
Sipht_1000.gml,FCFS,1210.0,16456.0,0.769108
Sipht_1000.gml,HEFT,1391.5,41.14,0.61644
Sipht_1000.gml,QIPSO,1500.0,32908.0,37.654041
Sipht_100_0.gml,FCFS,150.0,1630.0,0.04904
Sipht_100_0.gml,HEFT,149.5,4.11,0.061178
Sipht_100_0.gml,QIPSO,180.0,3332.0,4.311559
Sipht_100_6.gml,FCFS,150.0,1630.0,0.068039
Sipht_100_6.gml,HEFT,149.5,4.11,0.040512
Sipht_100_6.gml,QIPSO,168.0,3300.0,4.478381
Sipht_100_4.gml,FCFS,150.0,1630.0,0.076197
Sipht_100_4.gml,HEFT,149.5,4.11,0.069141
Sipht_100_4.gml,QIPSO,168.0,3268.0,4.279475
Sipht_100_2.gml,FCFS,150.0,1630.0,0.06705
Sipht_100_2.gml,HEFT,149.5,4.11,0.055353
Sipht_100_2.gml,QIPSO,180.0,3192.0,5.724692
Sipht_30.gml,FCFS,70.0,478.0,0.034989
Sipht_30.gml,HEFT,57.5,1.18,0.035425
Sipht_30.gml,QIPSO,72.0,968.0,3.073922
Sipht_100_1.gml,FCFS,150.0,1630.0,0.063581
Sipht_100_1.gml,HEFT,149.5,4.11,0.041652
Sipht_100_1.gml,QIPSO,180.0,3328.0,4.129998
Sipht_100_7.gml,FCFS,150.0,1630.0,0.053299
Sipht_100_7.gml,HEFT,149.5,4.11,0.064391
Sipht_100_7.gml,QIPSO,180.0,3328.0,5.468178
Sipht_100_9.gml,FCFS,150.0,1630.0,0.046388
Sipht_100_9.gml,HEFT,149.5,4.11,0.049821
Sipht_100_9.gml,QIPSO,180.0,3276.0,5.154418
Sipht_100_8.gml,FCFS,150.0,1630.0,0.057489
Sipht_100_8.gml,HEFT,149.5,4.11,0.075543
Sipht_100_8.gml,QIPSO,168.0,3252.0,4.137977
Sipht_100.gml,FCFS,150.0,1630.0,0.067531
Sipht_100.gml,HEFT,149.5,4.11,0.07919
Sipht_100.gml,QIPSO,180.0,3280.0,5.561147
Sipht_100.gml,DQN,114.8,611.87,0.233809
Sipht_60.gml,FCFS,100.0,958.0,0.070328
Sipht_60.gml,HEFT,92.0,2.44,0.075736
Sipht_60.gml,QIPSO,120.0,1972.0,4.949227
