dag,algorithm,makespan,energy,runtime_sec
Sipht_100_7.gml,FCFS,150.0,1630.0,0.0
Sipht_100_7.gml,HEFT,149.5,4.1,0.011301
Sipht_100_7.gml,QIPSO,180.0,3360.0,5.456331
Sipht_100_7.gml,DQN,238.0,1558.8,0.199998
Sipht_100_7.gml,QERLO,193.88,1571.09,1.728411
Sipht_1000.gml,FCFS,1210.0,16456.0,0.002999
Sipht_1000.gml,HEFT,1391.5,41.14,0.016504
Sipht_1000.gml,QIPSO,1512.0,32928.0,34.629034
Sipht_1000.gml,DQN,4437.0,13753.8,0.304001
Sipht_1000.gml,QERLO,2934.68,15700.41,16.521343
Sipht_100_3.gml,FCFS,150.0,1630.0,0.0
Sipht_100_3.gml,HEFT,149.5,4.1,0.01
Sipht_100_3.gml,QIPSO,180.0,3308.0,4.982209
Sipht_100_3.gml,DQN,297.5,1578.6,0.144288
Sipht_100_3.gml,QERLO,229.62,1628.19,1.687079
Sipht_100_6.gml,FCFS,150.0,1630.0,0.0
Sipht_100_6.gml,HEFT,149.5,4.1,0.01
Sipht_100_6.gml,QIPSO,168.0,3320.0,5.057795
Sipht_100_6.gml,DQN,357.0,1575.0,0.103198
Sipht_100_6.gml,QERLO,262.55,1542.17,1.576907
Sipht_100_9.gml,FCFS,150.0,1630.0,0.0
Sipht_100_9.gml,HEFT,149.5,4.1,0.011304
Sipht_100_9.gml,QIPSO,168.0,3324.0,5.144161
Sipht_100_9.gml,DQN,246.5,1483.2,0.102397
Sipht_100_9.gml,QERLO,184.19,1574.12,1.860511
Sipht_100_4.gml,FCFS,150.0,1630.0,0.001
Sipht_100_4.gml,HEFT,149.5,4.1,0.01
Sipht_100_4.gml,QIPSO,168.0,3328.0,5.463441
Sipht_100_4.gml,DQN,357.0,1283.4,0.205598
Sipht_100_4.gml,QERLO,242.1,1421.25,1.802312
Sipht_30.gml,FCFS,70.0,478.0,0.0
Sipht_30.gml,HEFT,57.5,1.18,0.0113
Sipht_30.gml,QIPSO,84.0,1032.0,2.583604
Sipht_30.gml,DQN,238.0,424.8,0.102399
Sipht_30.gml,QERLO,160.11,475.07,0.607785
Sipht_100_8.gml,FCFS,150.0,1630.0,0.0
Sipht_100_8.gml,HEFT,149.5,4.1,0.0113
Sipht_100_8.gml,QIPSO,180.0,3260.0,5.102469
Sipht_100_8.gml,DQN,212.5,1341.0,0.209597
Sipht_100_8.gml,QERLO,184.59,1456.35,1.678246
Sipht_100_0.gml,FCFS,150.0,1630.0,0.0
Sipht_100_0.gml,HEFT,149.5,4.1,0.011284
Sipht_100_0.gml,QIPSO,168.0,3336.0,4.8933
Sipht_100_0.gml,DQN,365.5,1416.6,0.152791
Sipht_100_0.gml,QERLO,255.96,1464.69,1.556357
Sipht_100.gml,FCFS,150.0,1630.0,0.0
Sipht_100.gml,HEFT,149.5,4.1,0.0113
Sipht_100.gml,QIPSO,168.0,3348.0,4.887712
Sipht_100.gml,DQN,340.0,1459.8,6.079567
Sipht_100.gml,QERLO,234.14,1573.99,5.04721
Sipht_60.gml,FCFS,100.0,958.0,0.0
Sipht_60.gml,HEFT,92.0,2.44,0.0113
Sipht_60.gml,QIPSO,108.0,1920.0,3.643441
Sipht_60.gml,DQN,144.5,903.6,0.106398
Sipht_60.gml,QERLO,116.67,898.71,1.039859
Sipht_100_2.gml,FCFS,150.0,1630.0,0.001
Sipht_100_2.gml,HEFT,149.5,4.1,0.01
Sipht_100_2.gml,QIPSO,180.0,3276.0,4.723939
Sipht_100_2.gml,DQN,187.0,1490.4,0.191999
Sipht_100_2.gml,QERLO,172.69,1564.4,1.738895
Sipht_100_1.gml,FCFS,150.0,1630.0,0.0
Sipht_100_1.gml,HEFT,149.5,4.1,0.0113
Sipht_100_1.gml,QIPSO,180.0,3220.0,4.367983
Sipht_100_1.gml,DQN,212.5,1450.8,0.099981
Sipht_100_1.gml,QERLO,186.55,1501.1,1.744254
