dag,algorithm,makespan,energy,runtime_sec,cost
Inspiral_100.gml,GA,150.0,1580.0,0.23526,940.0
Inspiral_1000.gml,GA,1340.0,16626.0,1.728051,9653.0
Inspiral_30.gml,GA,50.0,450.0,0.056999,275.0
Inspiral_50.gml,GA,80.0,770.0,0.092,465.0
Inspiral_100.gml,PSO,170.0,1508.0,0.265167,924.0
Inspiral_1000.gml,PSO,1320.0,16700.0,2.187959,9670.0
Inspiral_30.gml,PSO,70.0,402.0,0.123001,271.0
Inspiral_50.gml,PSO,90.0,730.0,0.169023,455.0
Inspiral_100.gml,HEFT,139.99999999999997,1670.0000000000014,0.001,975.0000000000007
Inspiral_1000.gml,HEFT,1250.000000000001,17000.000000000062,0.007,9750.000000000033
Inspiral_30.gml,HEFT,60.00000000000001,468.0000000000002,0.001002,294.0000000000001
Inspiral_50.gml,HEFT,80.0,836.0000000000006,0.000988,498.0000000000003
Inspiral_100.gml,MOHEFT,140.0,1660.0,0.001,970.0
Inspiral_1000.gml,MOHEFT,1260.0,16976.0,0.008022,9748.0
Inspiral_30.gml,MOHEFT,80.0,424.0,0.0,292.0
Inspiral_50.gml,MOHEFT,100.0,788.0,0.0,494.0
Inspiral_100.gml,QIPSO,150.0,1720.0,3.510062,1010.0
Inspiral_1000.gml,QIPSO,1310.0,16968.0,34.39696,9794.0
Inspiral_30.gml,QIPSO,80.0,536.0,1.125862,348.0
Inspiral_50.gml,QIPSO,100.0,832.0,1.765095,516.0
Inspiral_100.gml,DQN,260.0,1602.0,8.420795,1061.0
Inspiral_1000.gml,DQN,6690.0,16062.0,0.387991,14721.0
Inspiral_30.gml,DQN,100.0,434.0,0.147829,317.0
Inspiral_50.gml,DQN,250.0,924.0,0.137901,712.0
Inspiral_100.gml,QERLO,200.46,1688.06,6.23157,1005.16
Inspiral_1000.gml,QERLO,4065.98,17327.18,18.883309,12376.3
Inspiral_30.gml,QERLO,87.7,494.46,0.691515,325.63
Inspiral_50.gml,QERLO,169.6,893.62,0.923036,643.49
