dag_file,QIPSO_makespan,DQN_makespan
part.0.gml,70.0,N/A
part.1.gml,80.0,N/A
part.10.gml,60.0,N/A
part.100.gml,170.0,N/A
part.101.gml,90.0,N/A
part.102.gml,280.0,N/A
part.103.gml,60.0,N/A
part.104.gml,120.0,N/A
part.105.gml,70.0,N/A
part.106.gml,80.0,N/A
part.107.gml,270.0,N/A
part.108.gml,370.0,N/A
part.109.gml,90.0,N/A
part.11.gml,140.0,N/A
part.110.gml,360.0,N/A
part.111.gml,140.0,N/A
part.112.gml,120.0,N/A
part.113.gml,230.0,N/A
part.114.gml,150.0,N/A
part.115.gml,80.0,N/A
part.116.gml,130.0,N/A
part.117.gml,690.0,N/A
part.118.gml,160.0,N/A
part.119.gml,90.0,N/A
part.12.gml,100.0,N/A
part.120.gml,70.0,N/A
part.121.gml,90.0,N/A
part.122.gml,280.0,N/A
part.123.gml,70.0,N/A
part.124.gml,110.0,N/A
part.125.gml,90.0,N/A
part.126.gml,80.0,N/A
part.127.gml,470.0,N/A
part.128.gml,190.0,N/A
part.129.gml,70.0,N/A
part.13.gml,80.0,N/A
part.130.gml,90.0,N/A
part.131.gml,1560.0,Error
part.132.gml,80.0,Error
part.133.gml,230.0,Error
part.134.gml,70.0,Error
part.135.gml,70.0,Error
part.136.gml,80.0,Error
part.137.gml,110.0,Error
part.138.gml,70.0,Error
part.139.gml,120.0,Error
part.14.gml,100.0,Error
part.140.gml,190.0,Error
part.141.gml,80.0,Error
part.142.gml,80.0,Error
part.143.gml,90.0,Error
part.144.gml,1070.0,Error
part.145.gml,80.0,Error
part.146.gml,90.0,Error
part.147.gml,70.0,Error
part.148.gml,70.0,Error
part.149.gml,80.0,Error
part.15.gml,80.0,Error
part.150.gml,80.0,Error
part.151.gml,1030.0,Error
part.152.gml,280.0,Error
part.153.gml,120.0,Error
part.154.gml,80.0,Error
part.155.gml,130.0,Error
part.156.gml,120.0,Error
part.157.gml,80.0,Error
part.158.gml,80.0,Error
part.159.gml,90.0,Error
part.16.gml,90.0,Error
part.160.gml,70.0,Error
part.161.gml,110.0,Error
part.162.gml,210.0,Error
part.163.gml,130.0,Error
part.164.gml,130.0,Error
part.165.gml,80.0,Error
part.166.gml,80.0,Error
part.167.gml,420.0,Error
part.168.gml,130.0,Error
part.169.gml,80.0,Error
part.17.gml,90.0,Error
part.170.gml,140.0,Error
part.171.gml,80.0,Error
part.172.gml,220.0,Error
part.173.gml,320.0,Error
part.174.gml,80.0,Error
part.175.gml,80.0,Error
part.176.gml,60.0,Error
part.177.gml,90.0,Error
part.178.gml,90.0,Error
part.179.gml,120.0,Error
part.18.gml,100.0,Error
part.180.gml,120.0,Error
part.181.gml,350.0,Error
part.182.gml,510.0,Error
part.183.gml,60.0,Error
part.184.gml,90.0,Error
part.185.gml,130.0,Error
part.186.gml,90.0,Error
part.187.gml,80.0,Error
part.188.gml,70.0,Error
part.189.gml,70.0,Error
part.19.gml,80.0,Error
part.190.gml,60.0,Error
part.191.gml,70.0,Error
part.192.gml,80.0,Error
part.193.gml,70.0,Error
part.194.gml,90.0,Error
part.195.gml,130.0,Error
part.196.gml,80.0,Error
part.197.gml,70.0,Error
part.198.gml,120.0,Error
part.199.gml,70.0,Error
part.2.gml,120.0,Error
part.20.gml,90.0,Error
part.21.gml,130.0,Error
part.22.gml,80.0,Error
part.23.gml,90.0,Error
part.24.gml,270.0,Error
part.25.gml,120.0,Error
part.26.gml,370.0,Error
part.27.gml,120.0,Error
part.28.gml,70.0,Error
part.29.gml,70.0,Error
part.3.gml,90.0,Error
part.30.gml,80.0,Error
part.31.gml,130.0,Error
part.32.gml,90.0,Error
part.33.gml,70.0,Error
part.34.gml,130.0,Error
part.35.gml,80.0,Error
part.36.gml,80.0,Error
part.37.gml,130.0,Error
part.38.gml,210.0,Error
part.39.gml,200.0,Error
part.4.gml,90.0,Error
part.40.gml,80.0,Error
part.41.gml,80.0,Error
part.42.gml,100.0,Error
part.43.gml,130.0,Error
part.44.gml,310.0,Error
part.45.gml,70.0,Error
